Date,Price,Open,High,Low,Vol.,Change %
07/20/2025,39.75,38.4,39.85,38.365,78.44K,3.34%
07/13/2025,38.464,39.13,39.57,37.685,236.07K,-1.26%
07-06-2025,38.955,37.15,39.225,36.325,355.56K,5.05%
06/29/2025,37.084,36.15,37.315,35.585,194.82K,1.96%
06/22/2025,36.37,36.18,36.975,35.385,73.44K,0.53%
06/15/2025,36.18,36.595,37.52,35.72,2.44K,-0.92%
06-08-2025,36.517,36.215,37.17,35.8,2.34K,1.37%
06-01-2025,36.025,33.45,36.355,33.45,0.79K,9.07%
05/25/2025,33.029,33.47,33.655,32.75,93.24K,-1.30%
05/18/2025,33.464,32.345,33.75,32.155,2.86K,3.86%
05-11-2025,32.219,32.4,33.28,31.715,2.51K,-2.11%
05-04-2025,32.914,32.25,33.48,32.16,218.10K,2.03%
04/27/2025,32.259,33.205,33.835,31.86,191.88K,-2.75%
04/20/2025,33.171,32.62,33.83,32.35,7.76K,1.65%
04/13/2025,32.633,32.29,33.3,31.945,2.00K,1.76%
04-06-2025,32.07,29.075,32.355,28.21,4.03K,9.72%
03/30/2025,29.23,34.825,35.2,29.115,465.86K,-16.04%
03/23/2025,34.814,33.465,35.495,33.255,71.04K,4.48%
03/16/2025,33.32,34.25,34.82,33.03,2.11K,-2.76%
03-09-2025,34.264,32.785,34.665,32.095,2.26K,4.43%
03-02-2025,32.809,31.715,33.38,31.635,289.16K,4.17%
02/23/2025,31.496,33.045,33.27,31.365,121.62K,-5.06%
02/16/2025,33.174,32.665,33.935,32.665,4.36K,0.50%
02-09-2025,33.01,32.345,34.34,31.905,1.16K,1.75%
02-02-2025,32.443,32.46,33.215,31.61,339.95K,0.55%
01/26/2025,32.265,30.615,32.92,29.97,134.43K,3.90%
01/19/2025,31.055,30.81,31.535,30.375,1.52K,0.11%
01-12-2025,31.021,31.175,31.815,30.075,1.58K,-0.53%
01-05-2025,31.187,29.98,31.675,29.78,1.76K,3.73%
12/29/2024,30.065,29.98,30.38,29.2,140.03K,0.82%
12/22/2024,29.819,30.04,30.325,29.745,1.28K,-0.06%
12/15/2024,29.837,30.88,31.1,29.045,1.08K,-3.42%
12-08-2024,30.892,31.46,32.97,30.7,1.00K,-1.81%
12-01-2024,31.462,30.785,31.925,30.425,0.41K,1.14%
11/24/2024,31.108,31.85,31.98,30.095,228.68K,-2.10%
11/17/2024,31.776,30.81,32.035,30.78,87.93K,2.98%
11-10-2024,30.855,31.85,32.08,30.18,67.61K,-3.23%
11-03-2024,31.886,33,33.49,31.38,56.90K,-2.43%
10/27/2024,32.681,33.48,34.69,32.46,236.68K,-2.79%
10/20/2024,33.62,33.75,34.9,33.12,1.60K,1.64%
10/13/2024,33.079,30.87,33.785,30.87,1.53K,4.68%
10-06-2024,31.6,32.38,32.38,30.31,1.09K,-2.45%
09/29/2024,32.394,31.945,33.225,31.155,334.12K,1.82%
09/22/2024,31.816,30.915,32.855,30.84,76.13K,1.45%
09/15/2024,31.36,31.1,31.615,30.005,0.26K,1.39%
09-08-2024,30.929,27.96,31.13,27.96,0.32K,9.74%
09-01-2024,28.183,29.24,29.55,28.01,291.71K,-3.29%
08/25/2024,29.143,30.325,30.67,29.08,248.50K,-3.68%
08/18/2024,30.256,29.505,30.46,29.2,106.35K,3.39%
08-11-2024,29.264,27.98,29.505,27.64,67.08K,4.58%
08-04-2024,27.982,29.14,29.22,26.885,62.75K,-2.85%
07/28/2024,28.802,28.48,29.755,27.855,28.62K,1.29%
07/21/2024,28.436,29.82,30.07,27.98,26.95K,-4.39%
07/14/2024,29.741,31.52,32.115,29.5,22.16K,-5.95%
07-07-2024,31.621,31.925,32.46,31.08,19.18K,-1.63%
06/30/2024,32.146,29.855,32.24,29.68,15.62K,7.19%
06/23/2024,29.99,29.9,30.39,28.9,137.09K,0.16%
06/16/2024,29.942,29.955,31.225,29.305,101.82K,0.51%
06-09-2024,29.79,29.6,30.675,29.045,109.65K,0.10%
06-02-2024,29.761,30.895,31.985,29.56,61.06K,-3.27%
05/26/2024,30.767,30.895,32.84,30.68,31.35K,-0.19%
05/19/2024,30.827,32.115,33.05,30.575,25.86K,-2.36%
05-12-2024,31.571,28.735,32.145,28.48,22.41K,9.63%
05-05-2024,28.799,27.085,29.29,26.945,16.89K,6.77%
04/28/2024,26.972,27.755,28.015,26.55,10.93K,-2.04%
04/21/2024,27.535,29.06,29.07,26.99,222.77K,-5.47%
04/14/2024,29.128,28.4,29.37,27.935,98.76K,1.82%
04-07-2024,28.607,27.83,30.19,27.235,118.99K,2.99%
03/31/2024,27.777,25.37,27.885,25.11,60.60K,10.41%
03/24/2024,25.159,25.095,25.35,24.695,17.68K,0.30%
03/17/2024,25.084,25.61,26.2,24.825,17.03K,-2.09%
03-10-2024,25.62,24.78,25.88,24.455,20.25K,3.42%
03-03-2024,24.773,23.535,25.07,23.47,20.24K,5.06%
02/25/2024,23.58,23.18,23.7,22.625,95.44K,1.69%
02/18/2024,23.189,23.675,23.715,22.8,95.57K,-2.10%
02-11-2024,23.686,22.86,23.765,22.19,90.33K,3.84%
02-04-2024,22.809,23.03,23.03,22.42,43.17K,-0.90%
01/28/2024,23.016,23.23,23.65,22.71,23.62K,-0.34%
01/21/2024,23.095,22.96,23.36,22.265,14.47K,0.71%
01/14/2024,22.933,23.56,23.715,22.75,7.05K,-2.65%
01-07-2024,23.558,23.6,23.935,22.86,11.68K,0.06%
12/31/2023,23.544,24.275,24.565,23.11,9.52K,-3.19%
12/24/2023,24.321,24.495,24.955,24,74.95K,-0.99%
12/17/2023,24.565,24.125,24.895,23.955,222.64K,1.70%
12-10-2023,24.154,23.3,24.59,22.785,348.53K,3.77%
12-03-2023,23.276,25.945,26.34,23.245,394.69K,-9.98%
11/26/2023,25.857,24.75,25.94,24.68,307.53K,4.72%
11/19/2023,24.692,24.11,24.75,23.65,96.10K,2.03%
11-12-2023,24.201,22.69,24.56,22.26,80.68K,6.99%
11-05-2023,22.619,23.62,23.695,22.57,73.06K,-4.25%
10/29/2023,23.623,23.56,24.08,22.985,24.97K,2.66%
10/22/2023,23.011,23.515,23.545,22.8,0.20K,-2.62%
10/15/2023,23.631,22.8,23.96,22.8,0.12K,2.66%
10-08-2023,23.019,22,23.045,21.9,0.18K,5.42%
10-01-2023,21.836,22.225,22.225,20.995,0.30K,-3.25%
09/24/2023,22.57,23.81,23.925,22.51,175.14K,-5.34%
09/17/2023,23.844,23.32,24.05,23.06,272.27K,1.96%
09-10-2023,23.386,23.195,23.585,22.555,285.86K,0.91%
09-03-2023,23.174,24.565,24.655,23.13,262.30K,-5.65%
08/27/2023,24.562,24.62,25.425,24.45,260.04K,-0.09%
08/20/2023,24.583,23.13,24.785,23.04,142.51K,6.60%
08/13/2023,23.06,23.07,23.385,22.585,60.27K,-0.10%
08-06-2023,23.082,24.095,24.115,22.955,95.98K,-4.15%
07/30/2023,24.082,24.825,25.345,23.65,32.99K,-3.13%
07/23/2023,24.859,25.14,25.68,24.54,16.67K,-1.37%
07/16/2023,25.204,25.485,25.82,25.115,9.89K,-1.28%
